Dates,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20
2005-09-30,PSLL IN Equity,RIIL IN Equity,VEDL IN Equity,63MOONS IN Equity,PNCB IN Equity,CYL IN Equity,LIIL IN Equity,UNSP IN Equity,USM IN Equity,APHS IN Equity,HAVL IN Equity,VOLT IN Equity,SBIN IN Equity,MRLN IN Equity,BEML IN Equity,HCC IN Equity,GNP IN Equity,SIEM IN Equity,SREI IN Equity,CBOP IN Equity
2005-10-31,CAST IN Equity,CYL IN Equity,VRNS IN Equity,AZTEC IN Equity,BATA IN Equity,DABUR IN Equity,TTAN IN Equity,CCRI IN Equity,DEWH IN Equity,HAVL IN Equity,PLNG IN Equity,LIIL IN Equity,HMT IN Equity,ESAB IN Equity,SHY IN Equity,EDC IN Equity,BRCM IN Equity,GETD IN Equity,RJEX IN Equity,RCAPT IN Equity
2005-11-30,ITI IN Equity,APTR IN Equity,MLIFE IN Equity,SIEM IN Equity,TTAN IN Equity,HCC IN Equity,DECH IN Equity,KLGS IN Equity,UB IN Equity,JI IN Equity,ESAB IN Equity,POL IN Equity.1,POL IN Equity,HOE IN Equity,RLTA IN Equity,63MOONS IN Equity,MM IN Equity,RIIL IN Equity,AFTK IN Equity,BHEL IN Equity
2005-12-30,AURFI IN Equity,ASEL IN Equity,GTO IN Equity,AGG IN Equity,STSG IN Equity,BJH IN Equity,KEII IN Equity,BRCM IN Equity,TTAN IN Equity,ERIE IN Equity,SARE IN Equity,MRLN IN Equity,DABUR IN Equity,BEML IN Equity,SLCL IN Equity,BD IN Equity,BFUT IN Equity,OPTC IN Equity,SJET IN Equity,SICL IN Equity
2006-01-31,OUDH IN Equity,RIIL IN Equity,RIL IN Equity,LKEF IN Equity,BFUT IN Equity,SARE IN Equity,ERIE IN Equity,KLGS IN Equity,IVRC IN Equity,STSG IN Equity,IH IN Equity,STLT IN Equity,ABB IN Equity,ARBP IN Equity,GMON IN Equity,GTO IN Equity,ICEM IN Equity,BHEL IN Equity,BRCM IN Equity,JSWISPL IN Equity
2006-02-28,JTI IN Equity,ABAN IN Equity,LKEF IN Equity,GETD IN Equity,KKC IN Equity,APIL IN Equity,CIPLA IN Equity,VOLT IN Equity,BJHI IN Equity,PNCB IN Equity,DRRD IN Equity,TTMT IN Equity,CLGT IN Equity,UNSP IN Equity,ATFL IN Equity,BHEL IN Equity,AZTEC IN Equity,ERIE IN Equity,BEML IN Equity,VGM IN Equity
2006-03-31,PENL IN Equity,KPP IN Equity,RJEX IN Equity,GETD IN Equity,UT IN Equity,HEIM IN Equity,GOCL IN Equity,HZ IN Equity,JYS IN Equity,PRJ IN Equity,UNSP IN Equity,ASEL IN Equity,IBULL IN Equity,IVRC IN Equity,63MOONS IN Equity,ABAN IN Equity,STSG IN Equity,STLT IN Equity,BJH IN Equity,TCOM IN Equity
2006-04-28,UT IN Equity,HZ IN Equity,GOCL IN Equity,SOTL IN Equity,OPTC IN Equity,ESOIL IN Equity,MLIFE IN Equity,APIL IN Equity,ERIE IN Equity,STLT IN Equity,PRMC IN Equity,GTO IN Equity,RIIL IN Equity,NTB IN Equity,MGC IN Equity,KSI IN Equity,BD IN Equity,CENT IN Equity,ICEM IN Equity,PENL IN Equity
2006-05-31,UT IN Equity,RIIL IN Equity,APIL IN Equity,NXTD IN Equity,VRNS IN Equity,LKEF IN Equity,OPTC IN Equity,VOLT IN Equity,JSP IN Equity,MM IN Equity,VEDL IN Equity,AURFI IN Equity,BHDIL IN Equity,RIL IN Equity,JI IN Equity,PRJ IN Equity,KMB IN Equity,TTAN IN Equity,SARE IN Equity,BJHI IN Equity
2006-06-30,UTCEM IN Equity,RIL IN Equity,UT IN Equity,GRASIM IN Equity,MSIL IN Equity,ABB IN Equity,HEIM IN Equity,CLGT IN Equity,DABUR IN Equity,ACC IN Equity,TTMT IN Equity,BHEL IN Equity,KPP IN Equity,NACL IN Equity,BJHI IN Equity,ARBP IN Equity,HNDL IN Equity,MTNL IN Equity,ICEM IN Equity,LT IN Equity
2006-07-31,KSI IN Equity,SNDB IN Equity,POL IN Equity,POL IN Equity.1,UNSP IN Equity,TRCL IN Equity,HEIM IN Equity,SRCM IN Equity,ICEM IN Equity,CRPBK IN Equity,GETD IN Equity,Z IN Equity,CIPLA IN Equity,HCLI IN Equity,CENT IN Equity,HAVL IN Equity,OPTC IN Equity,ACC IN Equity,GRASIM IN Equity,ARBP IN Equity
2006-08-31,SOTL IN Equity,ASEL IN Equity,GHCL IN Equity,RLTA IN Equity,IIB IN Equity,MLIFE IN Equity,AREAL IN Equity,ERIE IN Equity,PENL IN Equity,KSO IN Equity,GOCL IN Equity,HMT IN Equity,ALPI IN Equity,IBULL IN Equity,KSI IN Equity,BD IN Equity,ABAN IN Equity,PRMC IN Equity,RJEX IN Equity,ANSALHSG IN Equity
2006-09-29,UT IN Equity,OGL IN Equity,ESCORTS IN Equity,63MOONS IN Equity,APIL IN Equity,IBULL IN Equity,CRPBK IN Equity,KSI IN Equity,RJEX IN Equity,HMT IN Equity,SICL IN Equity,JYS IN Equity,GEPIL IN Equity,KSO IN Equity,PRMC IN Equity,MGC IN Equity,PENL IN Equity,ITI IN Equity,AURFI IN Equity,JETIN IN Equity
2006-10-31,AREAL IN Equity,GDSP IN Equity,LOK IN Equity,HZ IN Equity,APIL IN Equity,PENL IN Equity,BSEL IN Equity,LMW IN Equity,VKI IN Equity,UBBL IN Equity,ANSALHSG IN Equity,CAST IN Equity,REIA IN Equity,OPTC IN Equity,GTO IN Equity,GEPIL IN Equity,ABB IN Equity,DIVI IN Equity,BFUT IN Equity,UNSP IN Equity
2006-11-30,DNI IN Equity,IOLB IN Equity,IVRC IN Equity,ELCN IN Equity,AREAL IN Equity,DSK IN Equity,BFUT IN Equity,AIAE IN Equity,GNP IN Equity,IBULL IN Equity,BZL IN Equity,63MOONS IN Equity,KSO IN Equity,ACEM IN Equity,UT IN Equity,Z IN Equity,WI IN Equity,MLIFE IN Equity,KEII IN Equity,CENT IN Equity
2006-12-29,IOLB IN Equity,TLDI IN Equity,RJEX IN Equity,EDSL IN Equity,LML IN Equity,POL IN Equity.1,POL IN Equity,EKCL IN Equity,ABAN IN Equity,UTCEM IN Equity,OFSS IN Equity,REIA IN Equity,NXTD IN Equity,FMGI IN Equity,JSTL IN Equity,ELCN IN Equity,COFORGE IN Equity,DNI IN Equity,MPHL IN Equity,IBULL IN Equity
2007-01-31,IFCI IN Equity,TLDI IN Equity,CMC IN Equity,PRJ IN Equity,KSO IN Equity,III IN Equity,NDTV IN Equity,VEDL IN Equity,IDFC IN Equity,KPP IN Equity,HAVL IN Equity,JYS IN Equity,POL IN Equity,POL IN Equity.1,IBULL IN Equity,KEII IN Equity,COFORGE IN Equity,ORCP IN Equity,PRMC IN Equity,RLTA IN Equity
2007-02-28,TVTN IN Equity,ABAN IN Equity,PRJ IN Equity,JAGP IN Equity,IBULL IN Equity,63MOONS IN Equity,IFCI IN Equity,APTR IN Equity,BJH IN Equity,JSAW IN Equity,JI IN Equity,EXID IN Equity,KBL IN Equity,JSTL IN Equity,BHARTI IN Equity,EKCL IN Equity,NDTV IN Equity,GVKP IN Equity,COFORGE IN Equity,GEPIL IN Equity
2007-03-30,SHRS IN Equity,STSG IN Equity,TLDI IN Equity,TATASTL IN Equity,IFCI IN Equity,IOLB IN Equity,TRE IN Equity,DNI IN Equity,KSO IN Equity,DSK IN Equity,ORCP IN Equity,GNP IN Equity,ABAN IN Equity,KMB IN Equity,UNSP IN Equity,CRPBK IN Equity,BRCM IN Equity,BJH IN Equity,COFORGE IN Equity,EKCL IN Equity
2007-04-30,APTR IN Equity,EDSL IN Equity,TLDI IN Equity,IFCI IN Equity,PRJ IN Equity,WLCO IN Equity,DECH IN Equity,ABAN IN Equity,SRF IN Equity,RLTA IN Equity,BCORP IN Equity,III IN Equity,EKCL IN Equity,ASEL IN Equity,JSP IN Equity,OFSS IN Equity,GEPIL IN Equity,MBI IN Equity,DIVI IN Equity,JSTL IN Equity
2007-05-31,UB IN Equity,UTV IN Equity,IIFL IN Equity,UNSP IN Equity,KAIR IN Equity,DIVI IN Equity,UT IN Equity,EDSL IN Equity,RCAPT IN Equity,COFORGE IN Equity,SHRS IN Equity,BLJT IN Equity,WLCO IN Equity,GNC IN Equity,KEII IN Equity,NFCL IN Equity,CEAT IN Equity,KSO IN Equity,GVKP IN Equity,RJEX IN Equity
2007-06-29,JFI IN Equity,ASEL IN Equity,GEPIL IN Equity,63MOONS IN Equity,ENIL IN Equity,IDBI IN Equity,EDSL IN Equity,SREI IN Equity,WLCO IN Equity,GEOD IN Equity,JSAW IN Equity,TTAN IN Equity,IFCI IN Equity,ABB IN Equity,IOLB IN Equity,OFSS IN Equity,PUNJ IN Equity,GESCO IN Equity,MHS IN Equity,KMB IN Equity
2007-07-31,ERIE IN Equity,UB IN Equity,ABGS IN Equity,JCHAC IN Equity,KSO IN Equity,GPIN IN Equity,OPTC IN Equity,JSP IN Equity,JSTL IN Equity,ASEL IN Equity,GEOD IN Equity,LT IN Equity,JFI IN Equity,KKC IN Equity,DBNK IN Equity.1,DBNK IN Equity,CGPOWER IN Equity,EDSL IN Equity,SAIL IN Equity,SREI IN Equity
2007-08-31,JFI IN Equity,NFCL IN Equity,REIA IN Equity,VAMP IN Equity,JSWI IN Equity,TRE IN Equity,SNGI IN Equity,GPIN IN Equity,JPVL IN Equity,TTSL IN Equity,INDT IN Equity,IFCI IN Equity,TVSL IN Equity,SAIL IN Equity,EDSL IN Equity,TTLS IN Equity,BHEL IN Equity,JPA IN Equity,TATASTL IN Equity,BCORP IN Equity
2007-09-28,RIIL IN Equity,RNR IN Equity,WI IN Equity,JFI IN Equity,REIA IN Equity,MRPL IN Equity,RJEX IN Equity,RELI IN Equity,IFCI IN Equity,JPVL IN Equity,UCO IN Equity,NFCL IN Equity,KSO IN Equity,GNC IN Equity,JSWI IN Equity,TRE IN Equity,NLC IN Equity,TTLS IN Equity,CETL IN Equity,UTV IN Equity
2007-10-31,JSP IN Equity,MRF IN Equity,RIIL IN Equity,WI IN Equity,TPW IN Equity,JFI IN Equity,MRLN IN Equity,RMW IN Equity,RPET IN Equity,HCC IN Equity,RELI IN Equity,ADML IN Equity,PUNJ IN Equity,LT IN Equity,LICHF IN Equity,VEDL IN Equity,KLGS IN Equity,GESCO IN Equity,TPWR IN Equity,DIVI IN Equity
2007-11-30,ESOIL IN Equity,JSWI IN Equity,NLC IN Equity,KAIR IN Equity,MRPL IN Equity,GMRI IN Equity,RNR IN Equity,BRPL IN Equity,DEWH IN Equity,JPVL IN Equity,DCBB IN Equity,UCO IN Equity,RCF IN Equity,CETL IN Equity,EKCL IN Equity,ABGS IN Equity,HOE IN Equity,WLCO IN Equity,TATASTL IN Equity,CHMB IN Equity
2007-12-31,VCLF IN Equity,GTLI IN Equity,HMFC IN Equity,KARG IN Equity,JSWI IN Equity,LANCI IN Equity,RCF IN Equity,LOK IN Equity,PATANJALIN Equity,AURFI IN Equity,IIFL IN Equity,GSCL IN Equity,UIP IN Equity,ERIE IN Equity,NTB IN Equity,SHRS IN Equity,RMW IN Equity,CETL IN Equity,PKI IN Equity,SITINET IN Equity
2008-01-31,IBULL IN Equity,AXSB IN Equity,INBK IN Equity,RJEX IN Equity,WLCO IN Equity,GNC IN Equity,UTV IN Equity,UCO IN Equity,SBIN IN Equity,RELI IN Equity,GVKP IN Equity,LT IN Equity,IDFC IN Equity,TPWR IN Equity,VAMP IN Equity,JPA IN Equity,SHRS IN Equity,SINT IN Equity,ERIE IN Equity,UNSP IN Equity
2008-02-29,WI IN Equity,WHIRL IN Equity,SHRS IN Equity,NFCL IN Equity,GTO IN Equity,CHMB IN Equity,EDSL IN Equity,KSO IN Equity,BOR IN Equity,SAIL IN Equity,TRE IN Equity,ADML IN Equity,IFCI IN Equity,ESOIL IN Equity,VEDL IN Equity,HOE IN Equity,GNC IN Equity,SITINET IN Equity,ABAN IN Equity,ARBP IN Equity
2008-03-31,JSWISPL IN Equity,ABGS IN Equity,REDI IN Equity,TECHM IN Equity,PLNG IN Equity,NTB IN Equity,UTV IN Equity,PATNI IN Equity,DIVI IN Equity,GESCO IN Equity,VEDL IN Equity,LICHF IN Equity,MRPL IN Equity,EDSL IN Equity,JSP IN Equity,CETL IN Equity,RPET IN Equity,ERIE IN Equity,VOLT IN Equity,ARBP IN Equity
2008-04-30,RIIL IN Equity,SKNL IN Equity,OFSS IN Equity,COFORGE IN Equity,LANCI IN Equity,ARVND IN Equity,GNP IN Equity,CHMB IN Equity,RCF IN Equity,ESOIL IN Equity,POL IN Equity.1,POL IN Equity,VEDL IN Equity,SOTL IN Equity,GITG IN Equity,SHRS IN Equity,JPVL IN Equity,MRPL IN Equity,NLC IN Equity,TECHM IN Equity
2008-05-30,JSTL IN Equity,CHMB IN Equity,NACL IN Equity,MRLN IN Equity,MLIFE IN Equity,CAIR IN Equity,TATASTL IN Equity,JSWISPL IN Equity,IFCI IN Equity,MHS IN Equity,GVKP IN Equity,MBI IN Equity,BOR IN Equity,PATNI IN Equity,PKI IN Equity,ERIE IN Equity,VEDL IN Equity,GITG IN Equity,COFORGE IN Equity,NFCL IN Equity
2008-06-30,SPCM IN Equity,GCVL IN Equity,OFSS IN Equity,SASKEN IN Equity,GMDC IN Equity,GHCL IN Equity,CETL IN Equity,ARBP IN Equity,TATASTL IN Equity,SHRS IN Equity,TMX IN Equity,GTLI IN Equity,GNC IN Equity,ICEM IN Equity,COFORGE IN Equity,BRPL IN Equity,PATNI IN Equity,CHMB IN Equity,HMFC IN Equity,JETIN IN Equity
2008-07-31,SXT IN Equity,RNR IN Equity,BPCL IN Equity,MRKS IN Equity,RCAPT IN Equity,JFI IN Equity,SIEM IN Equity,TRE IN Equity,RCF IN Equity,GDSP IN Equity,KAIR IN Equity,POWF IN Equity,BOB IN Equity,APIL IN Equity,DLFU IN Equity,IIFL IN Equity,PENL IN Equity,GDPL IN Equity,SHRS IN Equity,MRPL IN Equity
2008-08-29,ALTA IN Equity,CETL IN Equity,GOFF IN Equity,INBK IN Equity,FSOL IN Equity,SUBX IN Equity,GHCL IN Equity,DITV IN Equity,KSO IN Equity,ARBP IN Equity,KMB IN Equity,APTR IN Equity,PKI IN Equity,IDBI IN Equity,APIL IN Equity,PUNJ IN Equity,ESOIL IN Equity,BFUT IN Equity,GMRI IN Equity,GTO IN Equity
2008-09-30,MBI IN Equity,IOCL IN Equity,SPCM IN Equity,TVSL IN Equity,ABAN IN Equity,SIEL IN Equity,GEPIL IN Equity,PUNJ IN Equity,IIB IN Equity,POWF IN Equity,KMB IN Equity,ICEM IN Equity,HLV IN Equity,GTLI IN Equity,IDBI IN Equity,SUBX IN Equity,APIL IN Equity,CETL IN Equity,MRPL IN Equity,GMRI IN Equity
2008-10-31,HDIL IN Equity,IDFC IN Equity,RJEX IN Equity,MBI IN Equity,IBULL IN Equity,IBREL IN Equity,GMDC IN Equity,GNC IN Equity,SIEL IN Equity,HMFC IN Equity,DCBB IN Equity,JPVL IN Equity,SKNL IN Equity,STLT IN Equity,SOBHA IN Equity,NJCC IN Equity,JPA IN Equity,NLC IN Equity,NFCL IN Equity,GEPIL IN Equity
2008-11-28,IVRC IN Equity,GVKP IN Equity,EEDU IN Equity,TTLS IN Equity,KARG IN Equity,PHNX IN Equity,63MOONS IN Equity,RELI IN Equity,GMRI IN Equity,DITV IN Equity,SITINET IN Equity,DECH IN Equity,LANCI IN Equity,RJEX IN Equity,GEPIL IN Equity,MRKS IN Equity,JPVL IN Equity,NJCC IN Equity,ALTA IN Equity,TRE IN Equity
2008-12-31,KARG IN Equity,BJH IN Equity,NDTV IN Equity,UT IN Equity,HDIL IN Equity,GMDC IN Equity,JETIN IN Equity,PEC IN Equity,APTR IN Equity,HMFC IN Equity,HCC IN Equity,SUEL IN Equity,JPA IN Equity,KAIR IN Equity,GMRI IN Equity,TATA IN Equity,DLFU IN Equity,IIFL IN Equity,ORB IN Equity,IBREL IN Equity
2009-01-30,GOFF IN Equity,SAIL IN Equity,GNFC IN Equity,RJEX IN Equity,STLT IN Equity,TRE IN Equity,BGRL IN Equity,SUBX IN Equity,UTV IN Equity,DITV IN Equity,BHFC IN Equity,KPP IN Equity,CENT IN Equity,CETL IN Equity,NFCL IN Equity,GMDC IN Equity,63MOONS IN Equity,GHCL IN Equity,TECHM IN Equity,ALTA IN Equity
2009-02-27,SEAM IN Equity,SITINET IN Equity,DITV IN Equity,ABGS IN Equity,JFI IN Equity,FSOL IN Equity,BHFC IN Equity,PNCB IN Equity,LANCI IN Equity,IIFL IN Equity,HDPH IN Equity,CENT IN Equity,GVKP IN Equity,NACL IN Equity,GNP IN Equity,TECHM IN Equity,GSSI IN Equity,ALOK IN Equity,BAIL IN Equity,JSP IN Equity
2009-03-31,BRFL IN Equity,HDPH IN Equity,DECH IN Equity,63MOONS IN Equity,STLT IN Equity,NJCC IN Equity,KPP IN Equity,MLIFE IN Equity,HNDL IN Equity,SKNL IN Equity,SINF IN Equity,JPA IN Equity,ORB IN Equity,VOLT IN Equity,ABAN IN Equity,JSTL IN Equity,UT IN Equity,CENT IN Equity,CETL IN Equity,TTMT IN Equity
2009-04-29,RIIL IN Equity,JFI IN Equity,ARCP IN Equity,ESOIL IN Equity,HDIL IN Equity,CETL IN Equity,JPA IN Equity,SEAM IN Equity,SREI IN Equity,BJH IN Equity,YES IN Equity,LANCI IN Equity,UTV IN Equity,SUEL IN Equity,RCAPT IN Equity,BLJT IN Equity,GITG IN Equity,JSTL IN Equity,BHDIL IN Equity,TANLA IN Equity
2009-05-29,ORB IN Equity,NMDC IN Equity,CAFL IN Equity,PEC IN Equity,ABAN IN Equity,APIL IN Equity,HCC IN Equity,EEDU IN Equity,IVRC IN Equity,63MOONS IN Equity,NJCC IN Equity,PARSV IN Equity,SREI IN Equity,BD IN Equity,IIFL IN Equity,CENT IN Equity,ABGS IN Equity,GICHF IN Equity,IECC IN Equity,HDIL IN Equity
2009-06-30,TECHM IN Equity,BJH IN Equity,BEML IN Equity,TWL IN Equity,SCS IN Equity,BAIL IN Equity,JPVL IN Equity,VOLT IN Equity,EEDU IN Equity,TTSL IN Equity,IIB IN Equity,NIIT IN Equity,BRCM IN Equity,ARBP IN Equity,LICHF IN Equity,JSP IN Equity,YES IN Equity,WLCO IN Equity,MCLR IN Equity,IFCI IN Equity
2009-07-31,HEXW IN Equity,PATANJALIN Equity,SCS IN Equity,BHFC IN Equity,PARSV IN Equity,ADML IN Equity,PATNI IN Equity,DECH IN Equity,RMW IN Equity,VEDL IN Equity,KSI IN Equity,TPW IN Equity,ARCP IN Equity,TVSL IN Equity,GNC IN Equity,DLFU IN Equity,ARBP IN Equity,IBREL IN Equity,MM IN Equity,JSAW IN Equity
2009-08-31,HOE IN Equity,UTTM IN Equity,ABAN IN Equity,BGRL IN Equity,ALDS IN Equity,APTR IN Equity,PATANJALIN Equity,TATASTL IN Equity,MCLR IN Equity,FSOL IN Equity,CETL IN Equity,GMDC IN Equity,APIL IN Equity,SUNF IN Equity,PRSMJ IN Equity,IECC IN Equity,BHDIL IN Equity,HCLT IN Equity,GDSP IN Equity,ORCP IN Equity
2009-09-30,CBOI IN Equity,ESCORTS IN Equity,RJEX IN Equity,SWH IN Equity,TPW IN Equity,ORB IN Equity,JSAW IN Equity,SJET IN Equity,ALBK IN Equity,DHLBK IN Equity,TVSL IN Equity,TATASTL IN Equity,BHFC IN Equity,VEDL IN Equity,HNDL IN Equity,BJAUT IN Equity,YES IN Equity,JSTL IN Equity,TTMT IN Equity,TATA IN Equity
2009-10-30,CGPOWER IN Equity,BRCM IN Equity,YES IN Equity,OFSS IN Equity,VEDL IN Equity,DSM IN Equity,IECC IN Equity,DECH IN Equity,IRB IN Equity,JSP IN Equity,VOLT IN Equity,AL IN Equity,APTY IN Equity,BJH IN Equity,POL IN Equity,POL IN Equity.1,RJEX IN Equity,MM IN Equity,BGRL IN Equity,LANCI IN Equity
2009-11-30,ALTA IN Equity,JSAW IN Equity,GMDC IN Equity,HZ IN Equity,JSTL IN Equity,MCLR IN Equity,SWH IN Equity,JFI IN Equity,SJET IN Equity,ORB IN Equity,GUJS IN Equity,TATA IN Equity,RECL IN Equity,VEDL IN Equity,EVRIN IN Equity,IFCI IN Equity,AIAE IN Equity,JETIN IN Equity,TTMT IN Equity,DSM IN Equity
2009-12-31,BHDIL IN Equity,TPC IN Equity,KIRI IN Equity,CETL IN Equity,SAIL IN Equity,JETIN IN Equity,SJET IN Equity,JYS IN Equity,TTMT IN Equity,IIB IN Equity,PARSV IN Equity,GNC IN Equity,HNDL IN Equity,ESCORTS IN Equity,RJEX IN Equity,RLTA IN Equity,STC IN Equity,RBXY IN Equity,ADML IN Equity,TVSL IN Equity
2010-01-29,HCP IN Equity,NFL IN Equity,KWALITY IN Equity,JFI IN Equity,ABGS IN Equity,STC IN Equity,BD IN Equity,BHDIL IN Equity,DCIL IN Equity,WI IN Equity,NMDC IN Equity,TATASLPL IN Equity,TVSL IN Equity,TRE IN Equity,63MOONS IN Equity,ALBK IN Equity,ITI IN Equity,APTY IN Equity,RJEX IN Equity,HAVL IN Equity
2010-02-26,PATANJALIN Equity,VEDL IN Equity,CETL IN Equity,TATASTL IN Equity,HNDL IN Equity,APTY IN Equity,JSAW IN Equity,ARBP IN Equity,JSTL IN Equity,USM IN Equity,HCLT IN Equity,ESCORTS IN Equity,ERIE IN Equity,RJEX IN Equity,IDFC IN Equity,SIB IN Equity,APIL IN Equity,IVRC IN Equity,ALTA IN Equity,BJAUT IN Equity
2010-03-31,NELCO IN Equity,SKNL IN Equity,ALTA IN Equity,MCLR IN Equity,SIB IN Equity,APTY IN Equity,IECC IN Equity,AIAE IN Equity,GNC IN Equity,ENGR IN Equity,JETIN IN Equity,TELX IN Equity,TRE IN Equity,ADML IN Equity,RJEX IN Equity,VEDL IN Equity,USM IN Equity,FORH IN Equity,TVSL IN Equity,OBC IN Equity
2010-04-30,IBULL IN Equity,CIFC IN Equity,PIEL IN Equity,PATANJALIN Equity,LANCI IN Equity,EIM IN Equity,BATA IN Equity,ESCORTS IN Equity,ALTA IN Equity,DHANI IN Equity,TVSL IN Equity,SOTL IN Equity,TTAN IN Equity,KWALITY IN Equity,VYSB IN Equity,ALBK IN Equity,TTMT IN Equity,CETL IN Equity,Z IN Equity,MOTHERSOIN Equity
2010-05-31,BOR IN Equity,RECL IN Equity,UCO IN Equity,DRRD IN Equity,LPC IN Equity,TVSL IN Equity,EKCL IN Equity,TPW IN Equity,EIM IN Equity,BJAUT IN Equity,BGRL IN Equity,TTAN IN Equity,ALBK IN Equity,CIFC IN Equity,ALTA IN Equity,PATNI IN Equity,APTY IN Equity,NFL IN Equity,POONAWAL IN Equity,IIB IN Equity
2010-06-30,ASTR IN Equity,ATFL IN Equity,AGIS IN Equity,RCOM IN Equity,RMW IN Equity,VIP IN Equity,RNR IN Equity,HOE IN Equity,GLOT IN Equity,MTNL IN Equity,VYSB IN Equity,ORCP IN Equity,ABAN IN Equity,MBI IN Equity,BGRL IN Equity,TVSL IN Equity,SHRS IN Equity,TWL IN Equity,ALTA IN Equity,DABUR IN Equity
2010-07-30,UBBL IN Equity,WH IN Equity,BFUT IN Equity,INOL IN Equity,UB IN Equity,JETIN IN Equity,VIP IN Equity,OBC IN Equity,TTMT/A IN Equity,AGIS IN Equity,UCO IN Equity,CBOI IN Equity,TTAN IN Equity,IDEA IN Equity,ORCP IN Equity,ALBK IN Equity,SKNL IN Equity,TVSL IN Equity,VJYBK IN Equity,BHARTI IN Equity
2010-08-31,JDPF IN Equity,RW IN Equity,ANHPR IN Equity,EIM IN Equity,PATANJALIN Equity,UBBL IN Equity,UFLX IN Equity,KVB IN Equity,TTMT/A IN Equity,TTMT IN Equity,HPCL IN Equity,HAVL IN Equity,UCO IN Equity,PLNG IN Equity,TWO IN Equity,GITG IN Equity,KKC IN Equity,SJET IN Equity,IGL IN Equity,APTY IN Equity
2010-09-30,DELTA IN Equity,SACV IN Equity,NEUTL IN Equity,SHRS IN Equity,ALTA IN Equity,WPL IN Equity,WH IN Equity,JTI IN Equity,UFLX IN Equity,TTKPT IN Equity,GLOT IN Equity,VIP IN Equity,MGFL IN Equity,ORCP IN Equity,KAIR IN Equity,VKI IN Equity,GITG IN Equity,EEDU IN Equity,AGIS IN Equity,PUNJ IN Equity
2010-10-29,NEUTL IN Equity,ABGS IN Equity,IBULL IN Equity,KARG IN Equity,SREI IN Equity,UFLX IN Equity,SUBX IN Equity,JBF IN Equity,VJYBK IN Equity,REIA IN Equity,DBNK IN Equity,DBNK IN Equity.1,VKI IN Equity,GITG IN Equity,JDPF IN Equity,CBK IN Equity,ORCP IN Equity,IOB IN Equity,SNDB IN Equity,SACV IN Equity
2010-11-30,WPL IN Equity,DELTA IN Equity,DITV IN Equity,LPC IN Equity,CHMB IN Equity,TVSL IN Equity,IIB IN Equity,UCO IN Equity,NEUTL IN Equity,TTKPT IN Equity,SKNL IN Equity,MMFS IN Equity,TTMT IN Equity,SIEL IN Equity,VIP IN Equity,PLNG IN Equity,BJAUT IN Equity,TTAN IN Equity,ASTR IN Equity,ORCP IN Equity
2010-12-31,UBBL IN Equity,ARVND IN Equity,BZL IN Equity,HNDL IN Equity,RNAVAL IN Equity,ABAN IN Equity,SUEL IN Equity,CETL IN Equity,PUNJ IN Equity,REIA IN Equity,MMTC IN Equity,SHRS IN Equity,BJH IN Equity,JDPF IN Equity,DEWH IN Equity,SUBX IN Equity,ANHPR IN Equity,RW IN Equity,TATASTL IN Equity,SUNP IN Equity
2011-01-31,TCO IN Equity,NEUTL IN Equity,SIEL IN Equity,TTKPT IN Equity,PLNG IN Equity,SACV IN Equity,KWALITY IN Equity,WPL IN Equity,GLOT IN Equity,TTAN IN Equity,REIA IN Equity,BZL IN Equity,BOB IN Equity,ORCP IN Equity,VKI IN Equity,JBF IN Equity,GITG IN Equity,CGCL IN Equity,KVB IN Equity,MMFS IN Equity
2011-02-28,WLCO IN Equity,HDIL IN Equity,HCP IN Equity,RIIL IN Equity,DHLBK IN Equity,63MOONS IN Equity,GITG IN Equity,REIA IN Equity,MGFL IN Equity,CUBK IN Equity,VKI IN Equity,KWALITY IN Equity,JDPF IN Equity,AGIS IN Equity,IOB IN Equity,CBK IN Equity,MMFS IN Equity,ARSS IN Equity,ABGS IN Equity,DITV IN Equity
2011-03-31,TCO IN Equity,PARSV IN Equity,DECH IN Equity,ALTA IN Equity,TTKPT IN Equity,VIP IN Equity,DLFU IN Equity,ARVND IN Equity,RCOM IN Equity,ESCORTS IN Equity,HEXW IN Equity,RCAPT IN Equity,KWALITY IN Equity,ONMB IN Equity,ORCP IN Equity,JPA IN Equity,RW IN Equity,FB IN Equity,IBREL IN Equity,UT IN Equity
2011-04-29,UFLX IN Equity,JUBI IN Equity,TMKN IN Equity,DCBB IN Equity,HATH IN Equity,KARG IN Equity,SUBX IN Equity,SWH IN Equity,NEUTL IN Equity,JPO IN Equity,SREI IN Equity,DELTA IN Equity,SHDSL IN Equity,ONMB IN Equity,PEC IN Equity,BGRL IN Equity,TWL IN Equity,TATASTL IN Equity,MRF IN Equity,MPHL IN Equity
2011-05-31,SIEL IN Equity,UBBL IN Equity,SHDSL IN Equity,TTKPT IN Equity,DITV IN Equity,JUBI IN Equity,VGRD IN Equity,BATA IN Equity,VIP IN Equity,ARVND IN Equity,TTAN IN Equity,DLFU IN Equity,GITG IN Equity,PVRL IN Equity,LICHF IN Equity,RJEX IN Equity,SIB IN Equity,HDIL IN Equity,PLNG IN Equity,EKCL IN Equity
