Dates,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20
2001-04-30,GEO IN Equity,ESRS IN Equity,JSAW IN Equity,JSP IN Equity,GTS IN Equity,POL IN Equity,POL IN Equity.1,ADE IN Equity,TPWR IN Equity,SCI IN Equity,KSI IN Equity,INTEC IN Equity,SLVR IN Equity,VEDL IN Equity,FNXP IN Equity,CYL IN Equity,MM IN Equity,GESCO IN Equity,SARE IN Equity,CMC IN Equity
2001-05-31,MAST IN Equity,PSI IN Equity,CRSA IN Equity,SJET IN Equity,ADE IN Equity,JSAW IN Equity,ZENT IN Equity,AMRJ IN Equity,NXTD IN Equity,INTEC IN Equity,CYL IN Equity,ACCELYA IN Equity,UFLX IN Equity,USM IN Equity,GILL IN Equity,NOCIL IN Equity,BL IN Equity,ARBP IN Equity,SABTN IN Equity,Z IN Equity
2001-06-29,SLT IN Equity,CRPBK IN Equity,NLC IN Equity,GDSP IN Equity,TEIN IN Equity,INFO IN Equity,ADCIC IN Equity,BPCL IN Equity,PJC IN Equity,KOPD IN Equity,CYL IN Equity,MPHL IN Equity,RSST IN Equity,NIRMA IN Equity,ADF IN Equity,VWSP IN Equity,CMC IN Equity,ONT IN Equity,HZ IN Equity,UB IN Equity
2001-07-31,SLT IN Equity,PDMT IN Equity,MIRC IN Equity,VEDL IN Equity,BZL IN Equity,SI IN Equity,WPRO IN Equity,BL IN Equity,TPWR IN Equity,KSI IN Equity,NLC IN Equity,USM IN Equity,UFLX IN Equity,FNXP IN Equity,INFO IN Equity,ARBP IN Equity,BPCL IN Equity,CRPBK IN Equity,CMC IN Equity,SCI IN Equity
2001-08-31,HOE IN Equity,CYL IN Equity,SUBX IN Equity,MAST IN Equity,Z IN Equity,HCLI IN Equity,GEPIL IN Equity,GEO IN Equity,ONT IN Equity,CRSA IN Equity,BL IN Equity,SARE IN Equity,ADCIC IN Equity,BHFC IN Equity,ORIT IN Equity,GDSP IN Equity,PDMT IN Equity,BPL IN Equity,AFTK IN Equity,SCS IN Equity
2001-09-28,APHS IN Equity,GNP IN Equity,SJET IN Equity,BPL IN Equity,CMC IN Equity,ARBP IN Equity,MRF IN Equity,JSP IN Equity,ITI IN Equity,NXTD IN Equity,GTIC IN Equity,BHTI IN Equity,BD IN Equity,TVSL IN Equity,CIS IN Equity,TMX IN Equity,SI IN Equity,KSI IN Equity,SCI IN Equity,BPCL IN Equity
2001-10-31,SEAM IN Equity,VKI IN Equity,GEO IN Equity,JSAW IN Equity,ACCELYA IN Equity,NIIT IN Equity,CYL IN Equity,HMFC IN Equity,ALSF IN Equity,RLTA IN Equity,TVSL IN Equity,POL IN Equity.1,POL IN Equity,BYRCS IN Equity,SLVR IN Equity,BLJT IN Equity,ICICIBC IN Equity,ZENT IN Equity,CNVC IN Equity,GNP IN Equity
2001-11-29,CYBT IN Equity,ONT IN Equity,LES IN Equity,MAST IN Equity,CPIN IN Equity,SABTN IN Equity,ATCO IN Equity,PFSW IN Equity,TPS IN Equity,SLVR IN Equity,SHY IN Equity,AFTK IN Equity,ORIT IN Equity,SRMT IN Equity,RSST IN Equity,NXTD IN Equity,SUBX IN Equity,HMFC IN Equity,TLEI IN Equity,GEO IN Equity
2001-12-31,SLI IN Equity,CYL IN Equity,GEO IN Equity,MIRC IN Equity,NCS IN Equity,ORIT IN Equity,TLDI IN Equity,MAST IN Equity,POL IN Equity.1,POL IN Equity,ACCELYA IN Equity,SJET IN Equity,CIS IN Equity,RLTA IN Equity,PRTN IN Equity,SABTN IN Equity,TPS IN Equity,ZSS IN Equity,ZENT IN Equity,ALSF IN Equity
2002-01-31,SUBX IN Equity,TVSL IN Equity,NXTD IN Equity,BLJT IN Equity,BHE IN Equity,AFTK IN Equity,MM IN Equity,BHFC IN Equity,LML IN Equity,HOE IN Equity,BL IN Equity,GNP IN Equity,MKTA IN Equity,TLDI IN Equity,HMCL IN Equity,VKI IN Equity,MAST IN Equity,SABTN IN Equity,SCS IN Equity,PRTN IN Equity
2002-02-28,GRWRHITE IN Equity,BEML IN Equity,NXTD IN Equity,RCF IN Equity,SCI IN Equity,ENGR IN Equity,NLC IN Equity,HPCL IN Equity,EIM IN Equity,FB IN Equity,JKBK IN Equity,ICICIBC IN Equity,KMB IN Equity,IPCL IN Equity,GMDC IN Equity,ARVND IN Equity,AL IN Equity,ELSC IN Equity,TVSL IN Equity,LICHF IN Equity
2002-03-28,MAXF IN Equity,TLDI IN Equity,TRENT IN Equity,LML IN Equity,SARE IN Equity,ENGR IN Equity,CMC IN Equity,BLSI IN Equity,NCS IN Equity,ZENT IN Equity,GSFC IN Equity,NELCO IN Equity,SUBX IN Equity,FB IN Equity,AFTK IN Equity,AGG IN Equity,LES IN Equity,SSOF IN Equity,HM IN Equity,ONT IN Equity
2002-04-30,IRS IN Equity,SHY IN Equity,EIM IN Equity,TELX IN Equity,MROTK IN Equity,GMDC IN Equity,KLGS IN Equity,TLDI IN Equity,NCS IN Equity,MIT IN Equity,BLJT IN Equity,PSI IN Equity,NELCO IN Equity,RGBP IN Equity,TRENT IN Equity,ARVND IN Equity,TMX IN Equity,NXTD IN Equity,JBCP IN Equity,BHFC IN Equity
2002-05-31,BRPL IN Equity,RCF IN Equity,HOC IN Equity,ITI IN Equity,BEML IN Equity,IPCL IN Equity,NLC IN Equity,SCI IN Equity,CLRC IN Equity,RMW IN Equity,BL IN Equity,IRS IN Equity,TMX IN Equity,HM IN Equity,GSFC IN Equity,POL IN Equity,POL IN Equity.1,NACL IN Equity,NELCO IN Equity,SLI IN Equity
2002-06-28,GRWRHITE IN Equity,SUNF IN Equity,NINV IN Equity,UTTM IN Equity,RALI IN Equity,VEDL IN Equity,TATASLPL IN Equity,CENT IN Equity,JSTL IN Equity,DCW IN Equity,APTY IN Equity,EXL IN Equity,LML IN Equity,SAIL IN Equity,ATCP IN Equity,SABTN IN Equity,ARVND IN Equity,TNNP IN Equity,GMDC IN Equity,VKI IN Equity
